,Site,datetime,NO3,Cl,stamps,slope_sample,kw,sw,Uadd,sp
2,GBL,10/3/22 13:00,0,0.237338517,1-Feb,#NAME?,-0.085623324,11.67906072,0.005784955,KNO3
4,GBL,10/3/22 13:05,1.452,18.6772373,3-Apr,0.404666727,-0.053648822,18.63973837,0.003624667,KNO3
5,GBL,10/3/22 13:06,3.214,48.96579389,4-May,-0.169242094,-0.037462153,26.69360756,0.00253105,KNO3
6,GBL,10/3/22 13:07,6.286,81.88023838,5-Jun,0.156672969,-0.040846994,24.48160538,0.002759739,KNO3
7,GBL,10/3/22 13:08,NA,120.2900895,6-Jul,NA,-0.037713535,26.51567924,0.002548034,KNO3
9,GBL,10/3/22 13:09,12.79,175.2765737,8-Sep,-0.081452452,-0.037099862,26.95427814,0.002506572,KNO3
10,GBL,10/3/22 13:10,13.673,204.9907794,9-Oct,-0.089840383,-0.038728911,25.82050392,0.002616635,KNO3
11,GBL,10/3/22 13:11,15.36,212.5867254,10-Nov,0.079958617,-0.040525719,24.67568822,0.002738033,KNO3
12,GBL,10/3/22 13:12,16.374,208.4686125,11-Dec,0.071562444,-0.038926546,25.68940975,0.002629988,KNO3
13,GBL,10/3/22 13:14,16.061,187.4110035,13-12,0.06538775,-0.037256756,26.84076949,0.002517172,KNO3
14,GBL,10/3/22 13:16,15.4,149.0967801,14-13,0.093340998,-0.035513083,28.1586369,0.002399365,KNO3
15,GBL,10/3/22 13:18,11.9,112.215137,15-14,0.013174311,-0.031779443,31.46688278,0.00214711,KNO3
16,GBL,10/3/22 13:20,6.356,78.05836265,16-15,-0.132089021,-0.03125247,31.99747059,0.002111506,KNO3
17,GBL,10/3/22 13:23,6.703,48.58117422,17-16,0.17579221,-0.036536031,27.37024159,0.002468478,KNO3
18,GBL,10/3/22 13:27,4.067,26.98766733,18-17,0.022051634,-0.025988499,38.47855995,0.001755857,KNO3
19,GBL,10/3/22 13:31,2.413,15.37835274,19-18,0.010096075,-0.024224368,41.28074704,0.001636667,KNO3
20,GBL,10/3/22 13:45,1.286,4.914458317,20-19,0.036531797,-0.023416682,42.70459877,0.001582098,KNO3
21,GBL,10/3/22 13:55,0.194,2.981088654,21-20,-0.132527692,-0.013187779,75.82778158,0.000891004,KNO3