AQ400Tray Report,Logo,,,,,,,,,
,,,,,,,,,,
Software version :,2.4.5,,,,,,,,,
Report requested by :,adminAQ400,,,,,,,,,
Date \ Time :,2/17/22 17:32,,,,,,,,,
Tray number :,3,,,,,,,,,
Tray name :,KAL20220217_no3UP,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NO2_NO3_H2O,,,,,,,,,,
Calibration Chart,,,,,Calibration Graph,,,,,
Type,Absorbance,Calc mg N/L,Target mg N/L,% Error,Logo,,,,,
S1,0.0084,-0.002,0.01,-119.48,,,,,,
S90,0.0185,0.036,0.036,1.02,,,,,,
S91,0.0327,0.09,0.1,-9.9,,,,,,
S92,0.0614,0.199,0.2,-0.62,,,,,,
S93,0.1455,0.517,0.5,3.34,,,,,,
S94,0.287,1.052,1,5.2,,,,,,
S95,0.3879,1.434,1.5,-4.4,,,,,,
S96,0.5428,2.02,2,1,,,,,,
S0,0.0115,0.01,0,,,,,,,
,,,,,,,,,,
Polynomial Order :,1,,,,,,,,,
Correlation Coefficient :,0.999,,,,,,,,,
Carryover(%) :,0.6,,,,,,,,,
Calibration equation:,y = bx + a,,,,,,,,,
y =:,Concentration mg N/L,,,,,,,,,
x =:,Measured absorbance,,,,,,,,,
a =:,-3.37E-02,,,,,,,,,
b =:,3.78E+00,,,,,,,,,
Date & Time :,2/17/22 16:02,,,,,,,,,
,,,,,,,,,,
Reagents,,,,,,,,,,
Reagent Name,Batch Number,Operator,Expiry Date,,,,,,,
NOx Working buffer,,,,,,,,,,
NOx Sulfanilamide-NEDD,,,,,,,,,,
DI Diluent (Blank),,adminAQ400,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Test Results,,,,,,,,,,
Cup,Type,ID,Sample Details,Result,Units,QC Pro,Auto Dil.,Man Dil.,User,Time & Date
,S1,Standard 1,,0.008,,,,,ad,2/17/22 15:48
,S90,Standard 90,,0.019,,,,,ad,2/17/22 15:50
,S91,Standard 91,,0.033,,,,,ad,2/17/22 15:52
,S92,Standard 92,,0.061,,,,,ad,2/17/22 15:53
,S93,Standard 93,,0.145,,,,,ad,2/17/22 15:55
,S94,Standard 94,,0.287,,,,,ad,2/17/22 15:57
,S95,Standard 95,,0.388,,,,,ad,2/17/22 15:59
,S96,Standard 96,,0.543,,,,,ad,2/17/22 16:01
,S0,Standard 0,,0.011,,,,,ad,2/17/22 16:02
,CCV,CCV,,1.946,mg N/L,,,,ad,2/17/22 16:04
,CCB,CCB,,0.009,mg N/L,,,,ad,2/17/22 16:06
3,U1,manual standard 0.01,manual standard 0.01,0.039,mg N/L,,,,ad,2/17/22 16:08
4,U2,manual standard 0.05,manual standard 0.05,0.209,mg N/L,,,,ad,2/17/22 16:10
5,U3,manual standard 0.1,manual standard 0.1,0.26,mg N/L,,,,ad,2/17/22 16:11
6,U4,manual standard 0.5,manual standard 0.5,0.987,mg N/L,,,,ad,2/17/22 16:13
7,U5,INC_20210805_blank,,0.009,mg N/L,,,,ad,2/17/22 16:15
8,U6,INC_20210805_HOR,,0.011,mg N/L,,,,ad,2/17/22 16:17
9,U7,INC_20210805_U1,,0.002,mg N/L,,,,ad,2/17/22 16:19
10,U8,INC_20210805_U2,,0,mg N/L,,,,ad,2/17/22 16:21
10,DUP,Duplicate,INC_20210805_U2,0.001,mg N/L,146.2,,,ad,2/17/22 16:22
11,U9,INC_20210805_U3,,0,mg N/L,,,,ad,2/17/22 16:24
12,U10,INC_20210805_U4,,0.009,mg N/L,,,,ad,2/17/22 16:26
13,U11,INC_20210805_U5,,0.018,mg N/L,,,,ad,2/17/22 16:28
14,U12,INC_20210805_U6,,0.026,mg N/L,,,,ad,2/17/22 16:30
15,U13,INC_20210805_U7,,0.03,mg N/L,,,,ad,2/17/22 16:31
16,U14,INC_20210805_U8,,0.039,mg N/L,,,,ad,2/17/22 16:33
17,U15,INC_20210805_U9,,0.046,mg N/L,,,,ad,2/17/22 16:35
,CCV,CCV,,0.046,mg N/L,,,,ad,2/17/22 16:37
,CCB,CCB,,-0.002,mg N/L,,,,ad,2/17/22 16:39
18,U16,INC_20210805_U10,,0.048,mg N/L,,,,ad,2/17/22 16:40
19,U17,INC_20210805_U11,,0.03,mg N/L,,,,ad,2/17/22 16:42
20,U18,INC_20210805_U12,,0.02,mg N/L,,,,ad,2/17/22 16:44
20,DUP,Duplicate,INC_20210805_U12,0.017,mg N/L,14.41,,,ad,2/17/22 16:46
21,U19,INC_20210805_U13,,0.01,mg N/L,,,,ad,2/17/22 16:48
22,U20,INC_20210805_U14,,0.006,mg N/L,,,,ad,2/17/22 16:49
23,U21,INC_20210805_U15,,0.001,mg N/L,,,,ad,2/17/22 16:51
24,U22,INC_20210805_U16,,0,mg N/L,,,,ad,2/17/22 16:53
25,U23,GEN_20210728_blank,,0,mg N/L,,,,ad,2/17/22 16:55
26,U24,GEN_20210728_HOR,,0.001,mg N/L,,,,ad,2/17/22 16:57
27,U25,GEN_20210728_U1,,0,mg N/L,,,,ad,2/17/22 16:59
28,U26,GEN_20210728_U2,,0.001,mg N/L,,,,ad,2/17/22 17:00
29,U27,GEN_20210728_U3,,0.006,mg N/L,,,,ad,2/17/22 17:02
30,U28,GEN_20210728_U4,,0.015,mg N/L,,,,ad,2/17/22 17:04
30,DUP,Duplicate,GEN_20210728_U4,0.014,mg N/L,6.61,,,ad,2/17/22 17:06
31,U29,GEN_20210728_U5,,0.022,mg N/L,,,,ad,2/17/22 17:08
32,U30,GEN_20210728_U6,,0.027,mg N/L,,,,ad,2/17/22 17:09
,CCV,CCV,,0.063,mg N/L,,,,ad,2/17/22 17:11
,CCB,CCB,,0.001,mg N/L,,,,ad,2/17/22 17:13
33,U31,GEN_20210728_U7,,0.038,mg N/L,,,,ad,2/17/22 17:15
34,U32,GEN_20210728_U8,,0.034,mg N/L,,,,ad,2/17/22 17:17
35,U33,GEN_20210728_U9,,0.033,mg N/L,,,,ad,2/17/22 17:19
36,U34,GEN_20210728_U10,,0.028,mg N/L,,,,ad,2/17/22 17:20
37,U35,GEN_20210728_U11,,0.021,mg N/L,,,,ad,2/17/22 17:21
38,U36,GEN_20210728_U12,,0.009,mg N/L,,,,ad,2/17/22 17:22
39,U37,GEN_20210728_U13,,0.017,mg N/L,,,,ad,2/17/22 17:23
40,U38,GEN_20210728_U14,,0.006,mg N/L,,,,ad,2/17/22 17:24
41,U39,GEN_20210728_U15,,0.004,mg N/L,,,,ad,2/17/22 17:25
42,U40,GEN_20210728_U16,,0.002,mg N/L,,,,ad,2/17/22 17:26
42,DUP,Duplicate,GEN_20210728_U16,0,mg N/L,130.07,,,ad,2/17/22 17:26
,CCV,CCV,,0.069,mg N/L,,,,ad,2/17/22 17:27
,CCB,CCB,,0.003,mg N/L,,,,ad,2/17/22 17:28
,,,,,,,,,,
NO2_NO3_H2O_low,,,,,,,,,,
Calibration Chart,,,,,Calibration Graph,,,,,
Type,Absorbance,Calc mg N/L,Target mg N/L,% Error,Logo,,,,,
,,,,,,,,,,
Polynomial Order :,0,,,,,,,,,
Correlation Coefficient :,0,,,,,,,,,
Carryover(%) :,0,,,,,,,,,
Calibration equation:,Position in Reagent Sets,,,,,,,,,
y =:,Concentration mg N/L,,,,,,,,,
x =:,Measured absorbance,,,,,,,,,
a =:,0.00E+00,,,,,,,,,
Date & Time :,,,,,,,,,,
,,,,,,,,,,
Reagents,,,,,,,,,,
Reagent Name,Batch Number,Operator,Expiry Date,,,,,,,
NOxlow Working buffer,,,,,,,,,,
NOxlow Sulfanilamide-NEDD,,,,,,,,,,
DI Diluent (Blank),,adminAQ400,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Test Results,,,,,,,,,,
Cup,Type,ID,Sample Details,Result,Units,QC Pro,Auto Dil.,Man Dil.,User,Time & Date
,S1,Standard 1,,0.000PND,,,,,ad,
,S90,Standard 90,,0.000PND,,,,,ad,
,S91,Standard 91,,0.000PND,,,,,ad,
,S92,Standard 92,,0.000PND,,,,,ad,
,S93,Standard 93,,0.000PND,,,,,ad,
,S94,Standard 94,,0.000PND,,,,,ad,
,S95,Standard 95,,0.000PND,,,,,ad,
,S96,Standard 96,,0.000PND,,,,,ad,
,S0,Standard 0,,0.000PND,,,,,ad,
,CCV,CCV,,0.000PND,mg N/L,,,,ad,
,CCB,CCB,,0.000PND,mg N/L,,,,ad,
3,U1,manual standard 0.01,manual standard 0.01,0.000PND,mg N/L,,,,ad,
4,U2,manual standard 0.05,manual standard 0.05,0.000PND,mg N/L,,,,ad,
5,U3,manual standard 0.1,manual standard 0.1,0.000PND,mg N/L,,,,ad,
6,U4,manual standard 0.5,manual standard 0.5,0.000PND,mg N/L,,,,ad,
7,U5,INC_20210805_blank,,0.000PND,mg N/L,,,,ad,
,CCB,CCB,,0.000PND,mg N/L,,,,ad,
8,U6,INC_20210805_HOR,,0.000PND,mg N/L,,,,ad,
9,U7,INC_20210805_U1,,0.000PND,mg N/L,,,,ad,
10,U8,INC_20210805_U2,,0.000PND,mg N/L,,,,ad,
10,DUP,Duplicate,INC_20210805_U2,0.000PND,mg N/L,0,,,ad,
11,U9,INC_20210805_U3,,0.000PND,mg N/L,,,,ad,
12,U10,INC_20210805_U4,,0.000PND,mg N/L,,,,ad,
,CCB,CCB,,0.000PND,mg N/L,,,,ad,
13,U11,INC_20210805_U5,,0.000PND,mg N/L,,,,ad,
14,U12,INC_20210805_U6,,0.000PND,mg N/L,,,,ad,
15,U13,INC_20210805_U7,,0.000PND,mg N/L,,,,ad,
16,U14,INC_20210805_U8,,0.000PND,mg N/L,,,,ad,
17,U15,INC_20210805_U9,,0.000PND,mg N/L,,,,ad,
,CCV,CCV,,0.000PND,mg N/L,,,,ad,
,CCB,CCB,,0.000PND,mg N/L,,,,ad,
18,U16,INC_20210805_U10,,0.000PND,mg N/L,,,,ad,
19,U17,INC_20210805_U11,,0.000PND,mg N/L,,,,ad,
20,U18,INC_20210805_U12,,0.000PND,mg N/L,,,,ad,
20,DUP,Duplicate,INC_20210805_U12,0.000PND,mg N/L,0,,,ad,
21,U19,INC_20210805_U13,,0.000PND,mg N/L,,,,ad,
22,U20,INC_20210805_U14,,0.000PND,mg N/L,,,,ad,
,CCB,CCB,,0.000PND,mg N/L,,,,ad,
23,U21,INC_20210805_U15,,0.000PND,mg N/L,,,,ad,
24,U22,INC_20210805_U16,,0.000PND,mg N/L,,,,ad,
25,U23,GEN_20210728_blank,,0.000PND,mg N/L,,,,ad,
26,U24,GEN_20210728_HOR,,0.000PND,mg N/L,,,,ad,
27,U25,GEN_20210728_U1,,0.000PND,mg N/L,,,,ad,
,CCB,CCB,,0.000PND,mg N/L,,,,ad,
28,U26,GEN_20210728_U2,,0.000PND,mg N/L,,,,ad,
29,U27,GEN_20210728_U3,,0.000PND,mg N/L,,,,ad,
30,U28,GEN_20210728_U4,,0.000PND,mg N/L,,,,ad,
30,DUP,Duplicate,GEN_20210728_U4,0.000PND,mg N/L,0,,,ad,
31,U29,GEN_20210728_U5,,0.000PND,mg N/L,,,,ad,
32,U30,GEN_20210728_U6,,0.000PND,mg N/L,,,,ad,
,CCV,CCV,,0.000PND,mg N/L,,,,ad,
,CCB,CCB,,0.000PND,mg N/L,,,,ad,
33,U31,GEN_20210728_U7,,0.000PND,mg N/L,,,,ad,
34,U32,GEN_20210728_U8,,0.000PND,mg N/L,,,,ad,
35,U33,GEN_20210728_U9,,0.000PND,mg N/L,,,,ad,
36,U34,GEN_20210728_U10,,0.000PND,mg N/L,,,,ad,
37,U35,GEN_20210728_U11,,0.000PND,mg N/L,,,,ad,
,CCB,CCB,,0.000PND,mg N/L,,,,ad,
38,U36,GEN_20210728_U12,,0.000PND,mg N/L,,,,ad,
39,U37,GEN_20210728_U13,,0.000PND,mg N/L,,,,ad,
40,U38,GEN_20210728_U14,,0.000PND,mg N/L,,,,ad,
41,U39,GEN_20210728_U15,,0.000PND,mg N/L,,,,ad,
42,U40,GEN_20210728_U16,,0.000PND,mg N/L,,,,ad,
42,DUP,Duplicate,GEN_20210728_U16,0.000PND,mg N/L,0,,,ad,
,CCV,CCV,,0.000PND,mg N/L,,,,ad,
,CCB,CCB,,0.000PND,mg N/L,,,,ad,