sampleID,sample no,time,YSI SPC,NO3,notes
GBup_20210623_U1,A1,11:53:00,NA,0.02,"Upper Reach: Dissloved 364.93 g NaCl and 210.126 g KNO3 added at 11:50, last bucket rinse at 12:01, starting YSI SPC=41.1"
GBup_20210623_U2,A2,11:56:00,NA,0.03,
GBup_20210623_U3,A3,11:58:00,NA,0.031,
GBup_20210623_U4,A4,12:00:00,NA,0.022,
GBup_20210623_U5,A5,12:01:00,NA,0.024,
GBup_20210623_U6,A6,12:02:00,NA,0.019,
GBup_20210623_U7,A7,12:03:00,NA,0.019,
GBup_20210623_U10,A10,12:06:00,NA,0.022,
GBup_20210623_U11,A11,12:07:00,NA,0.036,
GBup_20210623_U12,A12,12:08:00,NA,0.018,
GBup_20210623_U13,A13,12:09:15,NA,0.017,
GBup_20210623_U14,A14,12:10:30,NA,0.019,
GBup_20210623_U15,A15,12:13:00,NA,0.018,
GBup_20210623_U16,A16,12:15:20,NA,0.018,
GBup_20210623_U17,A17,12:18:15,NA,0.021,
GBup_20210623_U18,A18,12:23:00,NA,0.056,
GBup_20210623_U19,A19,12:28:45,NA,0.027,
GBup_20210623_U20,A20,12:38:00,NA,0.01,
Blank,Blank,NA,NA,0.01,