data2,data1,loggerUid,logDateTime,dateTime
18.5,0,F37459D7C4C7,1655708400,20-06-2022 00:00:00
18.5,0,F37459D7C4C7,1655709000,20-06-2022 00:10:00
18.44,0,F37459D7C4C7,1655709600,20-06-2022 00:20:00
18.38,0,F37459D7C4C7,1655710200,20-06-2022 00:30:00
18.38,0,F37459D7C4C7,1655710800,20-06-2022 00:40:00
18.38,0,F37459D7C4C7,1655711400,20-06-2022 00:50:00
18.31,0,F37459D7C4C7,1655712000,20-06-2022 01:00:00
18.31,0,F37459D7C4C7,1655712600,20-06-2022 01:10:00
18.25,0,F37459D7C4C7,1655713200,20-06-2022 01:20:00
18.19,0,F37459D7C4C7,1655713800,20-06-2022 01:30:00
18.19,0,F37459D7C4C7,1655714400,20-06-2022 01:40:00
18.13,0,F37459D7C4C7,1655715000,20-06-2022 01:50:00
18.06,0,F37459D7C4C7,1655715600,20-06-2022 02:00:00
18.06,0,F37459D7C4C7,1655716200,20-06-2022 02:10:00
18,0,F37459D7C4C7,1655716800,20-06-2022 02:20:00
17.94,0,F37459D7C4C7,1655717400,20-06-2022 02:30:00
17.94,0,F37459D7C4C7,1655718000,20-06-2022 02:40:00
17.88,0,F37459D7C4C7,1655718600,20-06-2022 02:50:00
17.81,0,F37459D7C4C7,1655719200,20-06-2022 03:00:00
17.75,0,F37459D7C4C7,1655719800,20-06-2022 03:10:00
17.69,0,F37459D7C4C7,1655720400,20-06-2022 03:20:00
17.63,0,F37459D7C4C7,1655721000,20-06-2022 03:30:00
17.56,0,F37459D7C4C7,1655721600,20-06-2022 03:40:00
17.56,0,F37459D7C4C7,1655722200,20-06-2022 03:50:00
17.5,0,F37459D7C4C7,1655722800,20-06-2022 04:00:00
17.44,0,F37459D7C4C7,1655723400,20-06-2022 04:10:00
17.38,0,F37459D7C4C7,1655724000,20-06-2022 04:20:00
17.31,0,F37459D7C4C7,1655724600,20-06-2022 04:30:00
17.25,0,F37459D7C4C7,1655725200,20-06-2022 04:40:00
17.19,0,F37459D7C4C7,1655725800,20-06-2022 04:50:00
17.13,0,F37459D7C4C7,1655726400,20-06-2022 05:00:00
17.06,0,F37459D7C4C7,1655727000,20-06-2022 05:10:00
17,0,F37459D7C4C7,1655727600,20-06-2022 05:20:00
16.94,0,F37459D7C4C7,1655728200,20-06-2022 05:30:00
16.88,0,F37459D7C4C7,1655728800,20-06-2022 05:40:00
16.81,0,F37459D7C4C7,1655729400,20-06-2022 05:50:00
16.75,0,F37459D7C4C7,1655730000,20-06-2022 06:00:00
16.69,0,F37459D7C4C7,1655730600,20-06-2022 06:10:00
16.63,0,F37459D7C4C7,1655731200,20-06-2022 06:20:00
16.56,0,F37459D7C4C7,1655731800,20-06-2022 06:30:00
16.5,0,F37459D7C4C7,1655732400,20-06-2022 06:40:00
16.44,0,F37459D7C4C7,1655733000,20-06-2022 06:50:00
16.44,0,F37459D7C4C7,1655733600,20-06-2022 07:00:00
16.38,0,F37459D7C4C7,1655734200,20-06-2022 07:10:00
16.38,0,F37459D7C4C7,1655734800,20-06-2022 07:20:00
16.31,0,F37459D7C4C7,1655735400,20-06-2022 07:30:00
16.31,0,F37459D7C4C7,1655736000,20-06-2022 07:40:00
16.44,0,F37459D7C4C7,1655736600,20-06-2022 07:50:00
16.56,0,F37459D7C4C7,1655737200,20-06-2022 08:00:00
16.5,0,F37459D7C4C7,1655737800,20-06-2022 08:10:00
16.69,0,F37459D7C4C7,1655738400,20-06-2022 08:20:00
16.94,0,F37459D7C4C7,1655739000,20-06-2022 08:30:00
17.13,0,F37459D7C4C7,1655739600,20-06-2022 08:40:00
17.31,0,F37459D7C4C7,1655740200,20-06-2022 08:50:00
17.44,0,F37459D7C4C7,1655740800,20-06-2022 09:00:00
17.56,0,F37459D7C4C7,1655741400,20-06-2022 09:10:00
17.69,0,F37459D7C4C7,1655742000,20-06-2022 09:20:00
17.75,0,F37459D7C4C7,1655742600,20-06-2022 09:30:00
17.88,0,F37459D7C4C7,1655743200,20-06-2022 09:40:00
17.94,0,F37459D7C4C7,1655743800,20-06-2022 09:50:00
18,0,F37459D7C4C7,1655744400,20-06-2022 10:00:00
18.06,0,F37459D7C4C7,1655745000,20-06-2022 10:10:00
18.69,185.59,F37459D7C4C7,1655745600,20-06-2022 10:20:00
19.56,446.89000000000004,F37459D7C4C7,1655746200,20-06-2022 10:30:00
19.94,410.71000000000004,F37459D7C4C7,1655746800,20-06-2022 10:40:00
20.19,511.88000000000005,F37459D7C4C7,1655747400,20-06-2022 10:50:00
20.44,456.27000000000004,F37459D7C4C7,1655748000,20-06-2022 11:00:00
20.63,401.33000000000004,F37459D7C4C7,1655748600,20-06-2022 11:10:00
20.75,377.21000000000004,F37459D7C4C7,1655749200,20-06-2022 11:20:00
20.94,385.92,F37459D7C4C7,1655749800,20-06-2022 11:30:00
21,347.73,F37459D7C4C7,1655750400,20-06-2022 11:40:00
21.06,311.55,F37459D7C4C7,1655751000,20-06-2022 11:50:00
21.19,403.34000000000003,F37459D7C4C7,1655751600,20-06-2022 12:00:00
21.25,344.38,F37459D7C4C7,1655752200,20-06-2022 12:10:00
21.38,372.52000000000004,F37459D7C4C7,1655752800,20-06-2022 12:20:00
21.63,440.19000000000005,F37459D7C4C7,1655753400,20-06-2022 12:30:00
21.81,433.49,F37459D7C4C7,1655754000,20-06-2022 12:40:00
22,471.68,F37459D7C4C7,1655754600,20-06-2022 12:50:00
22.19,511.88000000000005,F37459D7C4C7,1655755200,20-06-2022 13:00:00
22.31,411.38000000000005,F37459D7C4C7,1655755800,20-06-2022 13:10:00
22.38,268,F37459D7C4C7,1655756400,20-06-2022 13:20:00
22.5,204.35000000000002,F37459D7C4C7,1655757000,20-06-2022 13:30:00
22.69,176.21,F37459D7C4C7,1655757600,20-06-2022 13:40:00
22.88,168.84,F37459D7C4C7,1655758200,20-06-2022 13:50:00
23.13,159.46,F37459D7C4C7,1655758800,20-06-2022 14:00:00
23.31,159.46,F37459D7C4C7,1655759400,20-06-2022 14:10:00
23.5,168.17000000000002,F37459D7C4C7,1655760000,20-06-2022 14:20:00
23.69,155.44,F37459D7C4C7,1655760600,20-06-2022 14:30:00
23.88,147.4,F37459D7C4C7,1655761200,20-06-2022 14:40:00
24.06,129.98000000000002,F37459D7C4C7,1655761800,20-06-2022 14:50:00
32.88,43908.450000000004,F37459D7C4C7,1655762400,20-06-2022 15:00:00
31.31,2818.69,F37459D7C4C7,1655762940,20-06-2022 15:09:00
31.31,1717.88,F37459D7C4C7,1655763000,20-06-2022 15:10:00
31.25,1668.97,F37459D7C4C7,1655763060,20-06-2022 15:11:00
31.25,1799.6200000000001,F37459D7C4C7,1655763120,20-06-2022 15:12:00
31.19,1599.2900000000002,F37459D7C4C7,1655763180,20-06-2022 15:13:00
31.06,1614.0300000000002,F37459D7C4C7,1655763240,20-06-2022 15:14:00
30.69,2536.6200000000003,F37459D7C4C7,1655763300,20-06-2022 15:15:00
30.69,2969.44,F37459D7C4C7,1655763360,20-06-2022 15:16:00
30.63,2066.9500000000003,F37459D7C4C7,1655763420,20-06-2022 15:17:00
30.31,1830.44,F37459D7C4C7,1655763480,20-06-2022 15:18:00
30.06,1713.8600000000001,F37459D7C4C7,1655763540,20-06-2022 15:19:00
29.88,2135.96,F37459D7C4C7,1655763600,20-06-2022 15:20:00
29.94,2892.3900000000003,F37459D7C4C7,1655763660,20-06-2022 15:21:00
30.06,3329.23,F37459D7C4C7,1655763720,20-06-2022 15:22:00
30.19,2923.88,F37459D7C4C7,1655763780,20-06-2022 15:23:00
30.75,5161.01,F37459D7C4C7,1655763840,20-06-2022 15:24:00
31.25,4736.2300000000005,F37459D7C4C7,1655763900,20-06-2022 15:25:00
31.63,4503.070000000001,F37459D7C4C7,1655763960,20-06-2022 15:26:00
32.19,5578.42,F37459D7C4C7,1655764020,20-06-2022 15:27:00
32.69,6098.34,F37459D7C4C7,1655764080,20-06-2022 15:28:00
33.31,6165.34,F37459D7C4C7,1655764140,20-06-2022 15:29:00
33.88,6187.450000000001,F37459D7C4C7,1655764200,20-06-2022 15:30:00
34.38,6128.490000000001,F37459D7C4C7,1655764260,20-06-2022 15:31:00
34.94,6060.820000000001,F37459D7C4C7,1655764320,20-06-2022 15:32:00
35.5,5981.09,F37459D7C4C7,1655764380,20-06-2022 15:33:00
36.19,5916.77,F37459D7C4C7,1655764440,20-06-2022 15:34:00
36.75,5853.79,F37459D7C4C7,1655764500,20-06-2022 15:35:00
37.19,5796.84,F37459D7C4C7,1655764560,20-06-2022 15:36:00
37.69,5744.58,F37459D7C4C7,1655764620,20-06-2022 15:37:00
38.19,5696.34,F37459D7C4C7,1655764680,20-06-2022 15:38:00
38.5,5648.1,F37459D7C4C7,1655764740,20-06-2022 15:39:00
38.63,5498.6900000000005,F37459D7C4C7,1655764800,20-06-2022 15:40:00
38.81,5264.860000000001,F37459D7C4C7,1655764860,20-06-2022 15:41:00
38.75,4373.76,F37459D7C4C7,1655764920,20-06-2022 15:42:00
38.56,1672.99,F37459D7C4C7,1655765040,20-06-2022 15:44:00
38.38,3787.51,F37459D7C4C7,1655765100,20-06-2022 15:45:00
38.06,3217.34,F37459D7C4C7,1655765160,20-06-2022 15:46:00
37.75,3435.76,F37459D7C4C7,1655765220,20-06-2022 15:47:00
37.25,2149.36,F37459D7C4C7,1655765280,20-06-2022 15:48:00
37,3542.96,F37459D7C4C7,1655765340,20-06-2022 15:49:00
37,4345.62,F37459D7C4C7,1655765400,20-06-2022 15:50:00
37,3743.2900000000004,F37459D7C4C7,1655765460,20-06-2022 15:51:00
37.06,4117.150000000001,F37459D7C4C7,1655765520,20-06-2022 15:52:00
37.19,4551.31,F37459D7C4C7,1655765580,20-06-2022 15:53:00